"","scale_factor","section","user","system","total"
"1","0","0","0","0","0"
"2","0.01","1","0.259999999999998","0","0.270000000000095"
"3","0.01","2","0.799999999999997","0.0199999999999996","0.829999999999927"
"4","0.01","3","1.06","0.0199999999999996","1.10000000000002"
"5","0.05","1","0.390000000000001","0","0.389999999999986"
"6","0.05","2","2.87","0.610000000000001","2.30000000000007"
"7","0.05","3","3.26","0.610000000000001","2.69000000000005"
"8","0.1","1","0.82","0","0.829999999999927"
"9","0.1","2","10.82","2.65","9.18000000000006"
"10","0.1","3","11.64","2.65","10.01"
"11","0.15","1","1.52000000000001","0.289999999999999","1.79999999999995"
"12","0.15","2","22.8","8.2","21.28"
"13","0.15","3","24.32","8.49","23.0799999999999"
"14","0.15","M_final","0","0","0"
