"","scale_factor","section","user","system","total","mem"
"1","0","text","0","0","0","0"
"2","0.1","T_setup","1.191","0.033","1.23500000000001","0"
"3","0.1","T_run","19.989","19.852","39.948","0"
"4","0.1","T_all","21.18","19.885","41.183","0"
"5","0.1","M_start","0","0","0","118493104"
"6","0.1","M_combined","0","0","0","119578216"
"7","0.1","M_distmat","0","0","0","130955064"
"8","0.1","M_setup","0","0","0","131124152"
"9","0.1","M_final","0","0","0","141533488"
"10","0.15","T_setup","1.97","0.0330000000000013","2.00399999999999","0"
"11","0.15","T_run","44.266","54.74","99.08","0"
"12","0.15","T_all","46.236","54.773","101.084","0"
"13","0.15","M_start","0","0","0","119725016"
"14","0.15","M_combined","0","0","0","122914648"
"15","0.15","M_distmat","0","0","0","145163672"
"16","0.15","M_setup","0","0","0","145389896"
"17","0.15","M_final","0","0","0","167002960"
"18","0.2","T_setup","3.342","0.25","3.59299999999999","0"
"19","0.2","T_run","82.194","112.484","194.739","0"
"20","0.2","T_all","85.536","112.734","198.332","0"
"21","0.2","M_start","0","0","0","119734112"
"22","0.2","M_combined","0","0","0","123968544"
"23","0.2","M_distmat","0","0","0","163262656"
"24","0.2","M_setup","0","0","0","163546192"
"25","0.2","M_final","0","0","0","201962856"
"26","0.25","T_setup","5.155","0.620000000000005","5.774","0"
"27","0.25","T_run","121.691","144.124","265.866","0"
"28","0.25","T_all","126.846","144.744","271.64","0"
"29","0.25","M_start","0","0","0","119739168"
"30","0.25","M_combined","0","0","0","125022800"
"31","0.25","M_distmat","0","0","0","186144912"
"32","0.25","M_setup","0","0","0","186502848"
"33","0.25","M_final","0","0","0","246523112"
"34","0.3","T_setup","7.62","0.684000000000026","8.30199999999991","0"
"35","0.3","T_run","183.302","220.877","404.239","0"
"36","0.3","T_all","190.922","221.561","412.541","0"
"37","0.3","M_start","0","0","0","119744112"
"38","0.3","M_combined","0","0","0","126076944"
"39","0.3","M_distmat","0","0","0","213827056"
"40","0.3","M_setup","0","0","0","214259392"
"41","0.3","M_final","0","0","0","300683256"
