"","scale_factor","section","user","system","total"
"1",0,0,0,0,0
"2",0.01,1,0.019999999999996,0,0.0299999999997453
"3",0.01,2,0.0900000000000034,0,0.0799999999999272
"4",0.01,3,0.109999999999999,0,0.109999999999673
"5",0.05,1,0.219999999999999,0,0.220000000000255
"6",0.05,2,2.36,0.610000000000003,2.04999999999973
"7",0.05,3,2.58,0.610000000000003,2.26999999999998
"8",0.1,1,0.72999999999999,0.0599999999999987,0.800000000000182
"9",0.1,2,8.75,2.81,8.30999999999995
"10",0.1,3,9.47999999999999,2.87,9.11000000000013
"11",0.15,1,1.39,0.330000000000002,1.72000000000025
"12",0.15,2,21.58,7.84,23.0299999999997
"13",0.15,3,22.97,8.17,24.75
