"","scale_factor","section","user","system","total"
"1",0,0,0,0,0
"2",0.01,1,0.0490000000000004,0.002,0.0769999999999982
"3",0.01,2,0.928,0.0620000000000001,1.017
"4",0.01,3,0.977,0.0640000000000001,1.09399999999999
"5",0.05,1,0.339,0.00700000000000001,0.345999999999997
"6",0.05,2,4.508,3.637,8.164
"7",0.05,3,4.847,3.644,8.51
"8",0.1,1,0.762,0.0410000000000004,0.804000000000002
"9",0.1,2,19.938,24.321,44.319
"10",0.1,3,20.7,24.362,45.123
"11",0.15,1,1.712,0.223000000000003,1.937
"12",0.15,2,44.878,55.128,100.159
"13",0.15,3,46.59,55.351,102.096
